expansion_,craft_,rarity_,pp_,CardName,Code
Basic,Neutral,Bronze,1,Goblin,5zWm2
Basic,Neutral,Bronze,2,Fighter,5zWmC
Basic,Neutral,Bronze,3,Mercenary Drifter,5zWmM
Basic,Neutral,Bronze,4,Goliath,5zWmW
Basic,Neutral,Bronze,5,Angelic Sword Maiden,5zWmg
Basic,Neutral,Bronze,2,Well of Destiny,5zW_g
Basic,Neutral,Gold,3,Harnessed Flame,5zbeY
Basic,Neutral,Gold,3,Harnessed Glass,5zbei
Basic,Forestcraft,Bronze,1,Water Fairy,5zvAY
Basic,Forestcraft,Bronze,2,Fairy Whisperer,5zvAi
Basic,Forestcraft,Bronze,4,Okami,5zvAs
Basic,Forestcraft,Bronze,2,Elf Guard,5zvB0
Basic,Forestcraft,Bronze,5,Treant,5zvBA
Basic,Forestcraft,Bronze,3,Dark Elf Faure,5zvBK
Basic,Forestcraft,Bronze,6,Elf Tracker,5zvBU
Basic,Forestcraft,Bronze,2,Sylvan Justice,5zvvQ
Basic,Forestcraft,Silver,6,Magna Botanist,5zxco
Basic,Forestcraft,Silver,2,Elf Metallurgist,5zxcy
Basic,Forestcraft,Silver,4,Rose Gardener,5zxd6
Basic,Swordcraft,Bronze,1,Quickblader,5-Hb2
Basic,Swordcraft,Bronze,2,Oathless Knight,5-HbC
Basic,Swordcraft,Bronze,3,Ascetic Knight,5-HbM
Basic,Swordcraft,Bronze,4,White General,5-HbW
Basic,Swordcraft,Bronze,5,Ninja Master,5-Hbg
Basic,Swordcraft,Bronze,2,Kunoichi Trainee,5-Hbq
Basic,Swordcraft,Bronze,1,Unbridled Fury,5-IJw
Basic,Swordcraft,Bronze,3,Forge Weaponry,5-IK4
Basic,Swordcraft,Silver,4,Floral Fencer,5-K1I
Basic,Swordcraft,Silver,6,Sage Commander,5-K1S
Basic,Swordcraft,Silver,4,Royal Banner,5-KGw
Basic,Runecraft,Bronze,2,"Sammy, Wizard's Apprentice",5-f_Y
Basic,Runecraft,Bronze,1,Insight,5-gkQ
Basic,Runecraft,Bronze,2,Magic Missile,5-gka
Basic,Runecraft,Bronze,2,Conjure Golem,5-gkk
Basic,Runecraft,Bronze,2,Wind Blast,5-gku
Basic,Runecraft,Bronze,3,Summon Snow,5-gl2
Basic,Runecraft,Bronze,4,Conjure Twosome,5-glC
Basic,Runecraft,Bronze,8,Fiery Embrace,5-glM
Basic,Runecraft,Silver,10,Flame Destroyer,5-iRo
Basic,Runecraft,Silver,4,Demonflame Mage,5-iRy
Basic,Runecraft,Silver,5,Lightning Shooter,5-iS6
Basic,Dragoncraft,Bronze,2,Dragonrider,5_2Q2
Basic,Dragoncraft,Bronze,5,Disaster Dragon,5_2QC
Basic,Dragoncraft,Bronze,4,Death Dragon,5_2QM
Basic,Dragoncraft,Bronze,6,Dragonguard,5_2QW
Basic,Dragoncraft,Bronze,3,Firstborn Dragon,5_2Qg
Basic,Dragoncraft,Bronze,2,Dragon Oracle,5_38w
Basic,Dragoncraft,Bronze,1,Blazing Breath,5_394
Basic,Dragoncraft,Bronze,4,Serpent Wrath,5_39E
Basic,Dragoncraft,Silver,4,Dragon Warrior,5_4sI
Basic,Dragoncraft,Silver,7,Dread Dragon,5_4sS
Basic,Dragoncraft,Silver,7,Conflagration,5_5bA
Basic,Shadowcraft,Bronze,2,Spartoi Sergeant,5_QqY
Basic,Shadowcraft,Bronze,2,Spectre,5_Qqi
Basic,Shadowcraft,Bronze,3,Apprentice Necromancer,5_Qqs
Basic,Shadowcraft,Bronze,4,Elder Spartoi Soldier,5_Qr0
Basic,Shadowcraft,Bronze,5,Gravewaker,5_QrA
Basic,Shadowcraft,Bronze,6,Ghostly Rider,5_QrK
Basic,Shadowcraft,Bronze,2,Undying Resentment,5_RZQ
Basic,Shadowcraft,Bronze,4,Call of the Void,5_RZa
Basic,Shadowcraft,Silver,4,Playful Necromancer,5_TGo
Basic,Shadowcraft,Silver,4,Hell's Unleasher,5_TGy
Basic,Shadowcraft,Silver,7,Undead King,5_TH6
Basic,Bloodcraft,Bronze,2,Nightmare,5_pF2
Basic,Bloodcraft,Bronze,2,Sweetfang Vampire,5_pFC
Basic,Bloodcraft,Bronze,3,Crazed Executioner,5_pFM
Basic,Bloodcraft,Bronze,6,Imp Lancer,5_pFW
Basic,Bloodcraft,Bronze,4,Dark General,5_pFg
Basic,Bloodcraft,Bronze,2,Blood Pact,5_pzw
Basic,Bloodcraft,Bronze,2,Razory Claw,5_p-4
Basic,Bloodcraft,Bronze,4,Crimson Purge,5_p-E
Basic,Bloodcraft,Silver,7,Abyss Beast,5_rhI
