card_set_id,clan,rarity,cost,CardName,card_id,Code
10000,Neutral,Bronze,1,Goblin,100011010,5zWm2
10000,Neutral,Bronze,2,Fighter,100011020,5zWmC
10000,Neutral,Bronze,3,Mercenary Drifter,100011030,5zWmM
10000,Neutral,Bronze,4,Goliath,100011040,5zWmW
10000,Neutral,Bronze,5,Angelic Sword Maiden,100011050,5zWmg
10000,Neutral,Bronze,2,Well of Destiny,100012010,5zW_g
10000,Neutral,Gold,3,Harnessed Flame,100031010,5zbeY
10000,Neutral,Gold,3,Harnessed Glass,100031020,5zbei
10000,Forestcraft,Bronze,1,Water Fairy,100111010,5zvAY
10000,Forestcraft,Bronze,2,Fairy Whisperer,100111020,5zvAi
10000,Forestcraft,Bronze,4,Okami,100111030,5zvAs
10000,Forestcraft,Bronze,2,Elf Guard,100111040,5zvB0
10000,Forestcraft,Bronze,5,Treant,100111050,5zvBA
10000,Forestcraft,Bronze,3,Dark Elf Faure,100111060,5zvBK
10000,Forestcraft,Bronze,6,Elf Tracker,100111070,5zvBU
10000,Forestcraft,Bronze,2,Sylvan Justice,100114010,5zvvQ
10000,Forestcraft,Silver,6,Magna Botanist,100121010,5zxco
10000,Forestcraft,Silver,2,Elf Metallurgist,100121020,5zxcy
10000,Forestcraft,Silver,4,Rose Gardener,100121030,5zxd6
10000,Swordcraft,Bronze,1,Quickblader,100211010,5-Hb2
10000,Swordcraft,Bronze,2,Oathless Knight,100211020,5-HbC
10000,Swordcraft,Bronze,3,Ascetic Knight,100211030,5-HbM
10000,Swordcraft,Bronze,4,White General,100211040,5-HbW
10000,Swordcraft,Bronze,5,Ninja Master,100211050,5-Hbg
10000,Swordcraft,Bronze,2,Kunoichi Trainee,100211060,5-Hbq
10000,Swordcraft,Bronze,1,Unbridled Fury,100214010,5-IJw
10000,Swordcraft,Bronze,3,Forge Weaponry,100214020,5-IK4
10000,Swordcraft,Silver,4,Floral Fencer,100221010,5-K1I
10000,Swordcraft,Silver,6,Sage Commander,100221020,5-K1S
10000,Swordcraft,Silver,4,Royal Banner,100222010,5-KGw
10000,Runecraft,Bronze,2,"Sammy, Wizard's Apprentice",100311010,5-f_Y
10000,Runecraft,Bronze,1,Insight,100314010,5-gkQ
10000,Runecraft,Bronze,2,Magic Missile,100314020,5-gka
10000,Runecraft,Bronze,2,Conjure Golem,100314030,5-gkk
10000,Runecraft,Bronze,2,Wind Blast,100314040,5-gku
10000,Runecraft,Bronze,3,Summon Snow,100314050,5-gl2
10000,Runecraft,Bronze,4,Conjure Twosome,100314060,5-glC
10000,Runecraft,Bronze,8,Fiery Embrace,100314070,5-glM
10000,Runecraft,Silver,10,Flame Destroyer,100321010,5-iRo
10000,Runecraft,Silver,4,Demonflame Mage,100321020,5-iRy
10000,Runecraft,Silver,5,Lightning Shooter,100321030,5-iS6
10000,Dragoncraft,Bronze,2,Dragonrider,100411010,5_2Q2
10000,Dragoncraft,Bronze,5,Disaster Dragon,100411020,5_2QC
10000,Dragoncraft,Bronze,4,Death Dragon,100411030,5_2QM
10000,Dragoncraft,Bronze,6,Dragonguard,100411040,5_2QW
10000,Dragoncraft,Bronze,3,Firstborn Dragon,100411050,5_2Qg
10000,Dragoncraft,Bronze,2,Dragon Oracle,100414010,5_38w
10000,Dragoncraft,Bronze,1,Blazing Breath,100414020,5_394
10000,Dragoncraft,Bronze,4,Serpent Wrath,100414030,5_39E
10000,Dragoncraft,Silver,4,Dragon Warrior,100421010,5_4sI
10000,Dragoncraft,Silver,7,Dread Dragon,100421020,5_4sS
10000,Dragoncraft,Silver,7,Conflagration,100424010,5_5bA
10000,Shadowcraft,Bronze,2,Spartoi Sergeant,100511010,5_QqY
10000,Shadowcraft,Bronze,2,Spectre,100511020,5_Qqi
10000,Shadowcraft,Bronze,3,Apprentice Necromancer,100511030,5_Qqs
10000,Shadowcraft,Bronze,4,Elder Spartoi Soldier,100511040,5_Qr0
10000,Shadowcraft,Bronze,5,Gravewaker,100511050,5_QrA
10000,Shadowcraft,Bronze,6,Ghostly Rider,100511060,5_QrK
10000,Shadowcraft,Bronze,2,Undying Resentment,100514010,5_RZQ
10000,Shadowcraft,Bronze,4,Call of the Void,100514020,5_RZa
10000,Shadowcraft,Silver,4,Playful Necromancer,100521010,5_TGo
10000,Shadowcraft,Silver,4,Hell's Unleasher,100521020,5_TGy
10000,Shadowcraft,Silver,7,Undead King,100521030,5_TH6
10000,Bloodcraft,Bronze,2,Nightmare,100611010,5_pF2
10000,Bloodcraft,Bronze,2,Sweetfang Vampire,100611020,5_pFC
10000,Bloodcraft,Bronze,3,Crazed Executioner,100611030,5_pFM
10000,Bloodcraft,Bronze,6,Imp Lancer,100611040,5_pFW
10000,Bloodcraft,Bronze,4,Dark General,100611050,5_pFg
10000,Bloodcraft,Bronze,2,Blood Pact,100614010,5_pzw
10000,Bloodcraft,Bronze,2,Razory Claw,100614020,5_p-4
10000,Bloodcraft,Bronze,4,Crimson Purge,100614030,5_p-E
10000,Bloodcraft,Silver,7,Abyss Beast,100621010,5_rhI
10000,Bloodcraft,Silver,4,Wardrobe Raider,100621020,5_rhS
10000,Bloodcraft,Silver,6,Demonic Storm,100624010,5_sQA
10000,Bloodcraft,Bronze,4,Dark General,704611010,f_uB2
10000,Havencraft,Bronze,2,Snake Priestess,100711010,60BfY
10000,Havencraft,Bronze,7,Curate,100711020,60Bfi
10000,Havencraft,Bronze,2,Beastly Vow,100713010,60C8o
10000,Havencraft,Bronze,1,Summon Pegasus,100713020,60C8y
10000,Havencraft,Bronze,3,Featherwyrm's Descent,100713030,60C96
10000,Havencraft,Bronze,2,Hallowed Dogma,100714010,60COQ
10000,Havencraft,Bronze,2,Blackened Scripture,100714020,60COa
10000,Havencraft,Bronze,5,Acolyte's Light,100714030,60COk
10000,Havencraft,Silver,5,Greater Priestess,100721010,60E5o
10000,Havencraft,Silver,4,Priest of the Cudgel,100721020,60E5y
10000,Havencraft,Silver,5,Dual Flames,100723010,60Eb2
10000,Portalcraft,Bronze,3,Toy Soldier,100811010,60a42
10000,Portalcraft,Bronze,2,Puppeteer,100811020,60a4C
10000,Portalcraft,Bronze,3,Automaton Knight,100811030,60a4M
10000,Portalcraft,Bronze,4,Ironforged Fighter,100811040,60a4W
10000,Portalcraft,Bronze,6,Black Iron Soldier,100811050,60a4g
10000,Portalcraft,Bronze,2,Mechanized Servant,100811060,60a4q
10000,Portalcraft,Bronze,2,Magisteel Lion,100811070,60a4-
10000,Portalcraft,Bronze,2,Dimension Cut,100814010,60aow
10000,Portalcraft,Silver,2,Magisteel Puppet,100821010,60cWI
10000,Portalcraft,Silver,4,Roan Winged Nexx,100821020,60cWS
10000,Portalcraft,Silver,4,Puppeteer's Strings,100824010,60dFA
10001,Neutral,Bronze,2,Minotaur,101011010,61Kv2
10001,Neutral,Bronze,4,Desert Rider,101011020,61KvC
10001,Neutral,Bronze,3,Shield Angel,101011030,61KvM
10001,Neutral,Bronze,3,Healing Angel,101011040,61KvW
10001,Neutral,Bronze,2,Keen Enchantment,101014010,61Ldw
10001,Neutral,Bronze,3,Cloud Chorus,101014020,61Le4
10001,Neutral,Bronze,4,Demonic Strike,101014030,61LeE
10001,Neutral,Silver,2,Bellringer Angel,101021010,61NLI
10001,Neutral,Silver,3,Lizardman,101021020,61NLS
10001,Neutral,Silver,8,Gilgamesh,101021030,61NLc
10001,Neutral,Silver,5,Goblinmount Demon,101021040,61NLm
10001,Neutral,Silver,1,Angelic Snipe,101024010,61O4A
10001,Neutral,Silver,3,Angelic Barrage,101024020,61O4K
10001,Neutral,Silver,5,Execution,101024030,61O4U
10001,Neutral,Silver,2,Trail of Light,101024040,61O4e
10001,Neutral,Gold,4,Urd,101031010,61PnY
10001,Neutral,Gold,5,Wind God,101031020,61Pni
10001,Neutral,Gold,6,Angel Crusher,101031030,61Pns
10001,Neutral,Gold,6,Athena,101031040,61Po0
10001,Neutral,Gold,4,Path to Purgatory,101032010,61Q1A
10001,Neutral,Gold,2,Altered Fate,101034010,61QWQ
10001,Neutral,Legendary,7,Gabriel,101041010,61SDo
10001,Neutral,Legendary,8,Lucifer,101041020,61SDy
10001,Neutral,Legendary,10,Prince of Darkness,101041030,61SE6
10001,Forestcraft,Bronze,1,Elf Child May,101111010,61jJY
10001,Forestcraft,Bronze,1,Fairy Champion,101111020,61jJi
10001,Forestcraft,Bronze,2,Dungeoncrawl Fairy,101111030,61jJs
10001,Forestcraft,Bronze,2,Fairy Bringer,101111040,61jK0
10001,Forestcraft,Bronze,3,Archer,101111050,61jKA
10001,Forestcraft,Bronze,3,Fen Sprite,101111060,61jKK
10001,Forestcraft,Bronze,2,Wandering Elf Mage,101111070,61jKU
10001,Forestcraft,Bronze,5,Fairy Caster,101111080,61jKe
10001,Forestcraft,Bronze,2,Elf Wanderer,101111090,61jKo
10001,Forestcraft,Bronze,3,Pixie Paradise,101112010,61jZA
10001,Forestcraft,Bronze,2,Forest of Dreams,101113010,61joo
10001,Forestcraft,Bronze,1,Nature's Guidance,101114010,61k2Q
10001,Forestcraft,Bronze,2,Pixie Mischief,101114020,61k2a
10001,Forestcraft,Bronze,4,Way of the Outlaw,101114030,61k2k
10001,Forestcraft,Bronze,2,Woodkin Curse,101114040,61k2u
10001,Forestcraft,Bronze,1,Fairy Circle,101114050,61k32
10001,Forestcraft,Bronze,3,Elemental Lance,101114060,61k3C
10001,Forestcraft,Silver,3,Waltzing Fairy,101121010,61llo
10001,Forestcraft,Silver,2,Blessed Fairy Dancer,101121020,61lly
10001,Forestcraft,Silver,3,Tam Lin,101121030,61lm6
10001,Forestcraft,Silver,3,Carnivorous Flower,101121040,61lmG
10001,Forestcraft,Silver,5,Elf Prophetess,101121050,61lmQ
10001,Forestcraft,Silver,6,Elder Treant,101121060,61lma
10001,Forestcraft,Silver,6,Fairy Beast,101121070,61lmk
10001,Forestcraft,Silver,4,Elven Princess Mage,101121080,61lmu
10001,Forestcraft,Silver,4,Mana Elk,101121090,61ln2
10001,Forestcraft,Silver,8,Forest Giant,101121100,61lnC
10001,Forestcraft,Silver,7,Forest Archelon,101121110,61lnM
10001,Forestcraft,Silver,4,Harvest Festival,101122010,61l_Q
10001,Forestcraft,Silver,1,Woodland Refuge,101122020,61l_a
10001,Forestcraft,Gold,4,Petal Fencer,101131010,61oC2
10001,Forestcraft,Gold,2,Rhinoceroach,101131020,61oCC
10001,Forestcraft,Gold,5,Noble Fairy,101131030,61oCM
10001,Forestcraft,Gold,8,Ancient Forest Dragon,101131040,61oCW
10001,Forestcraft,Gold,5,Robin Hood,101131050,61oCg
10001,Forestcraft,Gold,5,Titania's Sanctuary,101132010,61oRg
10001,Forestcraft,Gold,5,Will of the Forest,101134010,61oww
10001,Forestcraft,Gold,9,Silver Bolt,101134020,61ox4
10001,Forestcraft,Gold,7,Homecoming,101134030,61oxE
10001,Forestcraft,Legendary,6,Fairy Princess,101141010,61qeI
10001,Forestcraft,Legendary,3,Ancient Elf,101141020,61qeS
10001,Forestcraft,Legendary,8,Rose Queen,101141030,61qec
10001,Swordcraft,Bronze,1,Ninja Trainee,101211010,625k2
10001,Swordcraft,Bronze,2,Fervid Soldier,101211020,625kC
10001,Swordcraft,Bronze,2,Palace Fencer,101211030,625kM
10001,Swordcraft,Bronze,2,Cyclone Soldier,101211040,625kW
10001,Swordcraft,Bronze,2,Centaur Vanguard,101211050,625kg
10001,Swordcraft,Bronze,3,Fencer,101211060,625kq
10001,Swordcraft,Bronze,4,Courageous Knight,101211070,625k-
10001,Swordcraft,Bronze,5,Sentry,101211080,625l8
10001,Swordcraft,Bronze,3,Novice Trooper,101211090,625lI
10001,Swordcraft,Bronze,3,Snippy Gardener,101211100,625lS
10001,Swordcraft,Bronze,2,Veteran Lancer,101211110,625lc
10001,Swordcraft,Bronze,1,Vanguard,101211120,625lm
10001,Swordcraft,Bronze,6,Warbound Cavalier,101211130,625lw
10001,Swordcraft,Bronze,6,Admiral,101211140,625m4
10001,Swordcraft,Bronze,4,Rousing Step,101214010,626Sw
10001,Swordcraft,Bronze,5,Onslaught,101214020,626T4
10001,Swordcraft,Bronze,3,Giant Slayer,101214030,626TE
10001,Swordcraft,Silver,2,Maid Leader,101221010,628AI
10001,Swordcraft,Silver,2,Assassin,101221020,628AS
10001,Swordcraft,Silver,4,Cursed General,101221030,628Ac
10001,Swordcraft,Silver,5,Percival,101221040,628Am
10001,Swordcraft,Silver,3,Navy Lieutenant,101221050,628Aw
10001,Swordcraft,Silver,5,Noble Knight,101221060,628B4
10001,Swordcraft,Silver,3,Pompous Princess,101221070,628BE
10001,Swordcraft,Silver,2,Luminous Knight,101221080,628BO
10001,Swordcraft,Silver,2,Princess Vanguard,101221090,628BY
10001,Swordcraft,Silver,4,Swordsman,101221100,628Bi
10001,Swordcraft,Silver,8,Enraged General,101221110,628Bs
10001,Swordcraft,Silver,2,Ironwrought Fortress,101222010,628Pw
10001,Swordcraft,Silver,2,Conscription,101224010,628vA
10001,Swordcraft,Gold,4,Shadowed Assassin,101231010,62AcY
10001,Swordcraft,Gold,8,Dragonewt Charlotte,101231020,62Aci
10001,Swordcraft,Gold,3,Gemstaff Commander,101231030,62Acs
10001,Swordcraft,Gold,7,Frontguard General,101231040,62Ad0
10001,Swordcraft,Gold,4,"Latham, Vanguard Captain",101231050,62AdA
10001,Swordcraft,Gold,5,Arthurian Light,101232010,62AsA
10001,Swordcraft,Gold,1,Front Lines,101232020,62AsK
10001,Swordcraft,Gold,4,Stratagem,101234010,62BLQ
10001,Swordcraft,Gold,6,Alwida's Command,101234020,62BLa
10001,Swordcraft,Legendary,6,Sea Queen Otohime,101241010,62D2o
10001,Swordcraft,Legendary,5,"Aurelia, Regal Saber",101241020,62D2y
10001,Swordcraft,Legendary,6,Tsubaki,101241030,62D36
10001,Runecraft,Bronze,2,Penguin Wizard,101311010,62U8Y
10001,Runecraft,Bronze,2,Crafty Warlock,101311020,62U8i
10001,Runecraft,Bronze,4,Crest Wizard,101311030,62U8s
10001,Runecraft,Bronze,3,Runic Guardian,101311040,62U90
10001,Runecraft,Bronze,3,Gauntleted Healer,101311050,62U9A
10001,Runecraft,Bronze,2,Apprentice Alchemist,101311060,62U9K
10001,Runecraft,Bronze,6,Master Alchemist,101311070,62U9U
10001,Runecraft,Bronze,5,Whirlwind Mage,101311080,62U9e
10001,Runecraft,Bronze,6,Spurned Witch,101311090,62U9o
10001,Runecraft,Bronze,4,Veteran Alchemist,101311100,62U9y
10001,Runecraft,Bronze,2,Teachings of Creation,101312010,62UOA
10001,Runecraft,Bronze,4,Alchemist's Workshop,101312020,62UOK
10001,Runecraft,Bronze,3,Elementary Alchemy,101312030,62UOU
10001,Runecraft,Bronze,2,Kaleidoscopic Glow,101314010,62UtQ
10001,Runecraft,Bronze,5,Fate's Hand,101314020,62Uta
10001,Runecraft,Bronze,4,Fissure Bomb,101314030,62Utk
10001,Runecraft,Bronze,7,Twin Guardians,101314040,62Utu
10001,Runecraft,Silver,6,Gem Golem,101321010,62Wao
10001,Runecraft,Silver,3,Spectral Wizard,101321020,62Way
10001,Runecraft,Silver,6,Witchcrafter Magisa,101321030,62Wb6
10001,Runecraft,Silver,2,Scholarly Witch,101321040,62WbG
10001,Runecraft,Silver,4,Queen Medb,101321050,62WbQ
10001,Runecraft,Silver,5,Flame Witch,101321060,62Wba
10001,Runecraft,Silver,4,Rune Blade Summoner,101321070,62Wbk
10001,Runecraft,Silver,3,Price of Magic,101322010,62WqQ
10001,Runecraft,Silver,5,Golem Protection,101324010,62XJg
10001,Runecraft,Silver,7,Alchemical Lore,101324020,62XJq
10001,Runecraft,Silver,1,Commence Experiment,101324030,62XJ-
10001,Runecraft,Silver,3,Sorcery Cache,101324040,62XK8
10001,Runecraft,Silver,3,Petrification,101324050,62XKI
10001,Runecraft,Gold,5,Ancient Alchemist,101331010,62Z12
10001,Runecraft,Gold,7,Dragonbond Mage,101331020,62Z1C
10001,Runecraft,Gold,5,Conjuring Force,101332010,62ZGg
10001,Runecraft,Gold,7,Juno's Secret Laboratory,101333010,62ZWI
10001,Runecraft,Gold,6,Arcane Enlightenment,101334010,62Zlw
10001,Runecraft,Gold,20,Dimension Shift,101334020,62Zm4
10001,Runecraft,Gold,3,First Curse,101334030,62ZmE
10001,Runecraft,Gold,4,Fire Chain,101334040,62ZmO
10001,Runecraft,Gold,5,Winter's Caprice,101334050,62ZmY
10001,Runecraft,Legendary,9,Mythril Golem,101341010,62bTI
10001,Runecraft,Legendary,4,Merlin,101341020,62bTS
10001,Runecraft,Legendary,8,Arch Summoner Erasmus,101341030,62bTc
10001,Dragoncraft,Bronze,1,Ivory Dragon,101411010,62sZ2
10001,Dragoncraft,Bronze,2,Maelstrom Dragon,101411020,62sZC
10001,Dragoncraft,Bronze,3,"Aiela, Dragon Knight",101411030,62sZM
10001,Dragoncraft,Bronze,3,Twin-Headed Dragon,101411040,62sZW
10001,Dragoncraft,Bronze,4,Glint Dragon,101411050,62sZg
10001,Dragoncraft,Bronze,2,Sandstorm Dragon,101411060,62sZq
10001,Dragoncraft,Bronze,5,Seabrand Dragon,101411070,62sZ-
