expansion_,craft_,rarity_,pp_,CardName,id_,Code
ベーシック,ニュートラル,ブロンズレア,1,ゴブリン,100011010,5zWm2
ベーシック,ニュートラル,ブロンズレア,2,ファイター,100011020,5zWmC
ベーシック,ニュートラル,ブロンズレア,3,流浪の傭兵,100011030,5zWmM
ベーシック,ニュートラル,ブロンズレア,4,ゴリアテ,100011040,5zWmW
ベーシック,ニュートラル,ブロンズレア,5,天剣の乙女,100011050,5zWmg
ベーシック,ニュートラル,ブロンズレア,2,運命の泉,100012010,5zW_g
ベーシック,ニュートラル,ゴールドレア,3,ツインプリズナー・フラム,100031010,5zbeY
ベーシック,ニュートラル,ゴールドレア,3,ツインプリズナー・グラス,100031020,5zbei
ベーシック,エルフ,ブロンズレア,1,ウォーターフェアリー,100111010,5zvAY
ベーシック,エルフ,ブロンズレア,2,フェアリーウィスパラー,100111020,5zvAi
ベーシック,エルフ,ブロンズレア,4,大狼,100111030,5zvAs
ベーシック,エルフ,ブロンズレア,2,エルフガード,100111040,5zvB0
ベーシック,エルフ,ブロンズレア,5,トレント,100111050,5zvBA
ベーシック,エルフ,ブロンズレア,3,ダークエルフ・フォーレ,100111060,5zvBK
ベーシック,エルフ,ブロンズレア,6,エルフトラッカー,100111070,5zvBU
ベーシック,エルフ,ブロンズレア,2,森荒らしへの報い,100114010,5zvvQ
ベーシック,エルフ,シルバーレア,6,マグナボタニスト,100121010,5zxco
ベーシック,エルフ,シルバーレア,2,メタルエルフメイジ,100121020,5zxcy
ベーシック,エルフ,シルバーレア,4,ローズガーデンキーパー,100121030,5zxd6
ベーシック,ロイヤル,ブロンズレア,1,クイックブレーダー,100211010,5-Hb2
ベーシック,ロイヤル,ブロンズレア,2,オースレスナイト,100211020,5-HbC
ベーシック,ロイヤル,ブロンズレア,3,アセンティックナイト,100211030,5-HbM
ベーシック,ロイヤル,ブロンズレア,4,ホワイトジェネラル,100211040,5-HbW
ベーシック,ロイヤル,ブロンズレア,5,ニンジャマスター,100211050,5-Hbg
ベーシック,ロイヤル,ブロンズレア,2,クノイチエッグ,100211060,5-Hbq
ベーシック,ロイヤル,ブロンズレア,1,疾風怒濤,100214010,5-IJw
ベーシック,ロイヤル,ブロンズレア,3,武装強化,100214020,5-IK4
ベーシック,ロイヤル,シルバーレア,4,フローラルフェンサー,100221010,5-K1I
ベーシック,ロイヤル,シルバーレア,6,セージコマンダー,100221020,5-K1S
ベーシック,ロイヤル,シルバーレア,4,王家の御旗,100222010,5-KGw
ベーシック,ウィッチ,ブロンズレア,2,ルーキーマジシャン・サミー,100311010,5-f_Y
ベーシック,ウィッチ,ブロンズレア,1,知恵の光,100314010,5-gkQ
ベーシック,ウィッチ,ブロンズレア,2,マジックミサイル,100314020,5-gka
ベーシック,ウィッチ,ブロンズレア,2,ゴーレムの練成,100314030,5-gkk
ベーシック,ウィッチ,ブロンズレア,2,ウィンドブラスト,100314040,5-gku
ベーシック,ウィッチ,ブロンズレア,3,サモンスノー,100314050,5-gl2
ベーシック,ウィッチ,ブロンズレア,4,二重練成,100314060,5-glC
ベーシック,ウィッチ,ブロンズレア,8,炎の握撃,100314070,5-glM
ベーシック,ウィッチ,シルバーレア,10,フレイムデストロイヤー,100321010,5-iRo
ベーシック,ウィッチ,シルバーレア,4,デモンフレイムメイジ,100321020,5-iRy
ベーシック,ウィッチ,シルバーレア,5,ライトニングシューター,100321030,5-iS6
